"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very","Extremely"
"22.1.24","Female Asian",0,8,28,32,33
"22.1.24","Female Black",2,9,38,28,23
"22.1.24","Female Mixed",1,37,17,18,27
"22.1.24","Female Other",0,2,68,15,15
"22.1.24","Female White",5,8,24,28,35
"22.1.24","Male Asian",9,11,23,36,21
"22.1.24","Male Black",5,6,55,22,12
"22.1.24","Male Mixed",2,5,13,15,64
"22.1.24","Male Other",0,10,57,31,3
"22.1.24","Male White",7,11,19,29,34
"22.1.24","Female Brexit Party",7,15,24,16,37
"22.1.24","Female Conservatives",6,12,33,22,27
"22.1.24","Female Greens",0,0,26,39,35
"22.1.24","Female Labour",2,6,21,30,41
"22.1.24","Female Liberal Democrats",1,12,17,37,33
"22.1.24","Female Other",2,16,32,24,26
"22.1.24","Female SNP",0,0,18,42,41
"22.1.24","Male Brexit Party",22,36,27,13,2
"22.1.24","Male Conservatives",10,14,27,27,22
"22.1.24","Male Greens",7,3,6,28,56
"22.1.24","Male Labour",3,7,22,27,40
"22.1.24","Male Liberal Democrats",0,3,19,41,38
"22.1.24","Male Other",10,22,14,24,30
"22.1.24","Male SNP",3,5,7,30,55
"22.1.24","18-24 Asian",6,9,26,14,46
"22.1.24","18-24 Black",0,2,23,49,26
"22.1.24","18-24 Mixed",0,24,66,4,6
"22.1.24","18-24 Other",0,40,42,15,2
"22.1.24","18-24 White",2,6,20,30,42
"22.1.24","25-49 Asian",4,10,29,41,16
"22.1.24","25-49 Black",8,19,12,40,21
"22.1.24","25-49 Mixed",7,4,21,47,21
"22.1.24","25-49 Other",0,4,33,39,25
"22.1.24","25-49 White",3,9,22,35,32
"22.1.24","50-64 Asian",0,9,20,25,46
"22.1.24","50-64 Black",6,5,18,33,38
"22.1.24","50-64 Mixed",0,0,0,42,58
"22.1.24","50-64 Other",0,7,0,93,0
"22.1.24","50-64 White",8,11,22,24,35
"22.1.24","65+ Asian",11,10,17,38,24
"22.1.24","65+ Black",0,0,100,0,0
"22.1.24","65+ Mixed",0,33,0,0,67
"22.1.24","65+ Other",0,1,95,4,0
"22.1.24","65+ White",9,11,22,24,34
"22.1.24","18-24 Brexit Party",3,41,56,0,0
"22.1.24","18-24 Conservatives",0,13,25,31,31
"22.1.24","18-24 Greens",6,2,13,10,70
"22.1.24","18-24 Labour",3,5,28,29,35
"22.1.24","18-24 Liberal Democrats",0,18,17,32,34
"22.1.24","18-24 Other",0,24,0,76,0
"22.1.24","18-24 SNP",0,2,0,0,98
"22.1.24","25-49 Brexit Party",15,12,25,47,0
"22.1.24","25-49 Conservatives",4,10,29,35,23
"22.1.24","25-49 Greens",5,3,21,39,32
"22.1.24","25-49 Labour",3,8,20,33,36
"22.1.24","25-49 Liberal Democrats",2,9,20,49,21
"22.1.24","25-49 Other",12,34,20,20,14
"22.1.24","25-49 SNP",0,4,11,40,44
"22.1.24","50-64 Brexit Party",21,53,23,3,0
"22.1.24","50-64 Conservatives",11,13,25,23,28
"22.1.24","50-64 Greens",0,0,8,45,48
"22.1.24","50-64 Labour",4,4,17,26,50
"22.1.24","50-64 Liberal Democrats",0,8,16,30,45
"22.1.24","50-64 Other",13,25,22,16,24
"22.1.24","50-64 SNP",0,2,16,43,38
"22.1.24","65+ Brexit Party",16,17,26,0,41
"22.1.24","65+ Conservatives",10,15,34,18,22
"22.1.24","65+ Greens",1,0,23,24,52
"22.1.24","65+ Labour",2,6,28,15,49
"22.1.24","65+ Liberal Democrats",0,0,17,33,50
"22.1.24","65+ Other",0,2,25,20,54
"22.1.24","65+ SNP",9,0,19,47,25
"22.1.24","Asian Brexit Party",11,37,1,45,7
"22.1.24","Asian Conservatives",4,11,36,26,24
"22.1.24","Asian Greens",39,0,23,38,0
"22.1.24","Asian Labour",4,8,24,29,35
"22.1.24","Asian Liberal Democrats",0,0,14,68,18
"22.1.24","Asian Other",0,93,0,1,6
"22.1.24","Asian SNP",0,0,0,50,50
"22.1.24","Black Brexit Party",0,46,54,0,0
"22.1.24","Black Conservatives",2,2,61,18,16
"22.1.24","Black Greens",0,0,100,0,0
"22.1.24","Black Labour",8,11,32,27,22
"22.1.24","Black Liberal Democrats",0,0,35,65,0
"22.1.24","Black Other",0,57,43,0,0
"22.1.24","Black SNP",0,21,26,0,53
"22.1.24","Mixed Brexit Party",0,0,8,27,65
"22.1.24","Mixed Conservatives",3,42,0,12,43
"22.1.24","Mixed Greens",0,0,0,68,32
"22.1.24","Mixed Labour",0,0,38,29,33
"22.1.24","Mixed Liberal Democrats",0,0,31,0,69
"22.1.24","Mixed Other",9,16,8,0,67
"22.1.24","Mixed SNP",0,0,0,1,99
"22.1.24","Other Brexit Party",0,31,34,34,0
"22.1.24","Other Conservatives",0,0,75,25,0
"22.1.24","Other Greens",0,9,56,35,0
"22.1.24","Other Labour",0,8,50,20,22
"22.1.24","Other Liberal Democrats",0,25,59,14,2
"22.1.24","Other Ethnicity Other Party",0,0,14,86,0
"22.1.24","Other SNP",0,9,8,57,25
"22.1.24","White Brexit Party",20,28,27,11,14
"22.1.24","White Conservatives",10,13,26,26,25
"22.1.24","White Greens",0,1,10,34,55
"22.1.24","White Labour",3,6,19,29,43
"22.1.24","White Liberal Democrats",1,8,15,37,39
"22.1.24","White Other",9,12,22,26,32
"22.1.24","White SNP",2,2,13,37,46
"4.3.24","National",5,14,20,32,29
"4.3.24","Female",4,11,23,32,31
"4.3.24","Male",6,18,17,32,27
"4.3.24","18-24",2,17,14,37,29
"4.3.24","25-49",4,11,21,35,29
"4.3.24","50-64",8,10,22,31,30
"4.3.24","65+",6,21,18,28,27
"4.3.24","Asian",5,8,29,35,22
"4.3.24","Black",2,8,22,54,14
"4.3.24","Mixed",0,55,6,22,17
"4.3.24","Other Ethnicity",0,51,22,22,5
"4.3.24","White",6,12,19,31,32
"4.3.24","Brexit Party",29,24,10,29,9
"4.3.24","Conservatives",7,19,23,32,20
"4.3.24","Greens",0,21,9,25,46
"4.3.24","Labour",3,11,18,34,35
"4.3.24","Liberal Democrats",1,5,23,30,40
"4.3.24","Other Party",11,7,22,17,43
"4.3.24","SNP",2,11,6,45,35
"4.3.24","Female 18-24",2,11,17,42,28
"4.3.24","Female 25-49",2,7,25,36,30
"4.3.24","Female 50-64",6,6,25,29,34
"4.3.24","Female 65+",4,19,19,26,31
"4.3.24","Male 18-24",2,24,11,33,30
"4.3.24","Male 25-49",5,15,18,34,29
"4.3.24","Male 50-64",9,13,19,33,26
"4.3.24","Male 65+",7,23,17,30,23
"4.3.24","Female Asian",5,5,32,37,21
"4.3.24","Female Black",4,7,26,52,11
"4.3.24","Female Mixed",0,53,6,25,16
"4.3.24","Female Other",0,37,29,29,6
"4.3.24","Female White",4,9,22,31,34
"4.3.24","Male Asian",6,11,27,34,23
"4.3.24","Male Black",0,8,19,56,17
"4.3.24","Male Mixed",1,58,5,19,17
"4.3.24","Male Other",0,59,18,18,4
"4.3.24","Male White",7,15,17,32,29
"4.3.24","Female Brexit Party",17,6,21,32,25
"4.3.24","Female Conservatives",5,15,27,30,23
"4.3.24","Female Greens",0,5,15,31,50
"4.3.24","Female Labour",3,8,20,35,34
"4.3.24","Female Liberal Democrats",2,5,23,28,42
"4.3.24","Female Other",4,8,15,23,51
"4.3.24","Female SNP",3,11,5,43,38
"4.3.24","Male Brexit Party",35,33,4,27,0
"4.3.24","Male Conservatives",9,22,19,33,17
"4.3.24","Male Greens",0,39,2,18,41
"4.3.24","Male Labour",2,15,15,32,36
"4.3.24","Male Liberal Democrats",1,5,24,32,39
"4.3.24","Male Other",16,7,26,13,38
"4.3.24","Male SNP",2,11,7,48,32
"4.3.24","18-24 Asian",0,2,29,49,19
"4.3.24","18-24 Black",0,16,32,37,15
"4.3.24","18-24 Mixed",0,18,9,57,16
"4.3.24","18-24 Other",0,69,11,20,0
"4.3.24","18-24 White",3,17,11,35,34
"4.3.24","25-49 Asian",6,11,30,32,22
"4.3.24","25-49 Black",4,15,24,33,24
"4.3.24","25-49 Mixed",0,29,15,31,25
"4.3.24","25-49 Other",0,7,41,42,11
"4.3.24","25-49 White",4,10,20,35,31
"4.3.24","50-64 Asian",10,6,20,37,27
"4.3.24","50-64 Black",1,4,36,31,27
"4.3.24","50-64 Mixed",5,28,0,56,12
"4.3.24","50-64 Other",2,2,73,5,19
"4.3.24","50-64 White",8,10,21,31,30
"4.3.24","65+ Asian",0,7,44,31,19
"4.3.24","65+ Black",0,1,11,88,0
"4.3.24","65+ Mixed",0,84,1,2,13
"4.3.24","65+ Other",0,83,2,15,0
"4.3.24","65+ White",7,13,21,26,33
"4.3.24","18-24 Brexit Party",1,72,0,28,0
"4.3.24","18-24 Conservatives",5,19,19,33,25
"4.3.24","18-24 Greens",0,54,15,31,0
"4.3.24","18-24 Labour",1,10,11,39,38
"4.3.24","18-24 Liberal Democrats",0,24,28,31,17
"4.3.24","18-24 Other",0,0,33,12,55
"4.3.24","18-24 SNP",0,37,0,63,0
"4.3.24","25-49 Brexit Party",10,21,25,43,0
"4.3.24","25-49 Conservatives",6,17,21,35,21
"4.3.24","25-49 Greens",0,15,15,24,46
"4.3.24","25-49 Labour",3,10,23,34,30
"4.3.24","25-49 Liberal Democrats",0,0,24,37,39
"4.3.24","25-49 Other",15,6,11,5,62
"4.3.24","25-49 SNP",2,5,10,45,38
"4.3.24","50-64 Brexit Party",61,25,1,14,0
"4.3.24","50-64 Conservatives",9,12,28,32,20
"4.3.24","50-64 Greens",0,10,0,23,67
"4.3.24","50-64 Labour",4,7,16,33,41
"4.3.24","50-64 Liberal Democrats",2,4,24,28,42
"4.3.24","50-64 Other",15,10,34,21,20
"4.3.24","50-64 SNP",0,5,9,41,46
"4.3.24","65+ Brexit Party",17,18,8,32,25
"4.3.24","65+ Conservatives",7,24,21,29,19
"4.3.24","65+ Greens",0,22,0,23,55
"4.3.24","65+ Labour",0,23,12,28,38
"4.3.24","65+ Liberal Democrats",3,7,20,19,50
"4.3.24","65+ Other",7,8,18,28,39
"4.3.24","65+ SNP",6,13,0,35,46
"4.3.24","Asian Brexit Party",14,0,0,86,0
"4.3.24","Asian Conservatives",5,6,25,32,32
"4.3.24","Asian Greens",0,64,25,11,0
"4.3.24","Asian Labour",6,10,27,36,21
"4.3.24","Asian Liberal Democrats",0,0,68,32,0
"4.3.24","Asian Other",35,0,24,41,0
"4.3.24","Asian SNP",0,0,0,56,44
"4.3.24","Black Brexit Party",0,0,0,100,0
"4.3.24","Black Conservatives",0,0,5,80,16
"4.3.24","Black Greens",0,49,31,19,0
"4.3.24","Black Labour",5,21,24,38,12
"4.3.24","Black Liberal Democrats",0,0,100,0,0
"4.3.24","Black Other",0,0,0,43,57
"4.3.24","Black SNP",0,0,0,45,55
"4.3.24","Mixed Brexit Party",8,33,0,58,1
"4.3.24","Mixed Conservatives",0,83,6,11,0
"4.3.24","Mixed Greens",0,80,17,3,0
"4.3.24","Mixed Labour",0,41,4,46,9
"4.3.24","Mixed Liberal Democrats",0,0,0,0,100
"4.3.24","Mixed Other",7,0,66,27,0
"4.3.24","Mixed SNP",0,0,0,31,69
"4.3.24","Other Brexit Party",9,50,6,35,0
"4.3.24","Other Conservatives",0,67,33,0,0
"4.3.24","Other Greens",0,34,0,66,0
"4.3.24","Other Labour",0,54,9,19,18
"4.3.24","Other Liberal Democrats",0,0,11,89,0
"4.3.24","Other Ethnicity Other Party",0,0,100,0,0
"4.3.24","Other SNP",0,0,0,100,0
"4.3.24","White Brexit Party",34,26,12,17,11
"4.3.24","White Conservatives",8,15,24,31,21
"4.3.24","White Greens",0,11,5,26,57
"4.3.24","White Labour",2,8,17,33,39
"4.3.24","White Liberal Democrats",2,6,15,30,46
"4.3.24","White Other",10,9,17,13,50
"4.3.24","White SNP",3,14,8,42,33
"5.2.24","National",4,11,20,29,36
"5.2.24","Female",2,11,19,31,37
"5.2.24","Male",6,11,21,27,35
"5.2.24","18-24",0,14,18,30,38
"5.2.24","25-49",3,10,22,33,32
"5.2.24","50-64",7,10,20,29,34
"5.2.24","65+",5,13,16,23,43
"5.2.24","Asian",3,16,23,31,27
"5.2.24","Black",0,19,14,20,47
"5.2.24","Mixed",0,1,6,19,74
"5.2.24","Other Ethnicity",3,0,28,4,65
"5.2.24","White",5,11,20,31,33
"5.2.24","Brexit Party",14,8,31,18,28
"5.2.24","Conservatives",7,14,25,26,28
"5.2.24","Greens",0,1,8,32,59
"5.2.24","Labour",2,8,15,34,41
"5.2.24","Liberal Democrats",0,12,14,28,47
"5.2.24","Other Party",4,11,13,31,42
"5.2.24","SNP",3,13,18,27,39
"5.2.24","Female 18-24",0,8,14,35,43
"5.2.24","Female 25-49",2,8,21,35,35
"5.2.24","Female 50-64",5,11,20,26,38
"5.2.24","Female 65+",2,17,17,27,37
"5.2.24","Male 18-24",0,20,22,24,33
"5.2.24","Male 25-49",5,12,24,31,29
"5.2.24","Male 50-64",9,9,20,31,31
"5.2.24","Male 65+",7,9,16,19,49
"5.2.24","Female Asian",1,15,25,31,28
"5.2.24","Female Black",0,30,14,23,33
"5.2.24","Female Mixed",0,1,5,19,75
"5.2.24","Female Other",0,0,33,9,58
"5.2.24","Female White",3,10,19,32,36
"5.2.24","Male Asian",5,17,21,31,26
"5.2.24","Male Black",0,10,14,17,58
"5.2.24","Male Mixed",0,1,7,20,72
"5.2.24","Male Other",4,1,25,1,69
"5.2.24","Male White",7,12,21,29,31
"5.2.24","Female Brexit Party",14,9,39,5,33
"5.2.24","Female Conservatives",4,15,25,25,30
"5.2.24","Female Greens",0,0,10,33,57
"5.2.24","Female Labour",1,6,13,37,43
